agent,final_position,battery_soc,lap_time,won,laps_completed,avg_speed,consistency_rating,strategy_effectiveness,scenario_id
Opportunist,4,5.0,90.0811899894349,0,67,199.81974041540875,0.9006953290840531,0.7039865031109288,S0040_0
Defensive,5,5.0,89.9060079152175,0,67,200.20908966366548,0.9303825088411948,0.719789485589317,S0040_0
Risk_Taker,6,5.0,93.0090678457687,0,67,193.5295172493107,0.8584675390177776,0.8978134937339671,S0040_0
Aggressive,7,5.0,93.10675574367747,0,67,193.32646547747757,0.85,0.7240402591099616,S0040_0
Adaptive,1,8.916731391444102,86.57636525680049,1,63,207.90893619302315,0.8042095002983177,0.8141638896583452,S0041_0
Opportunist,2,5.0,87.55125089902795,0,63,205.59386433849167,0.8560999158171092,0.9503975992728251,S0041_0
Conservative,3,10.411938151405575,88.28600912065927,0,63,203.88281426788302,0.95,0.898139737551829,S0041_0
Risk_Taker,4,14.857170484566542,87.30837785900154,0,63,206.1657820406314,0.8856773102133176,0.6015623913511773,S0041_0
Balanced,5,5.0,90.57872432749005,0,63,198.72216277765702,0.9,0.627943325746357,S0041_0
Aggressive,6,5.0,90.61867876476052,0,63,198.6345447247878,0.85,0.9235360395849046,S0041_0
Defensive,7,16.1539257559631,91.39823073604273,0,63,196.94035491763333,0.9473411335369543,0.8612127475057691,S0041_0
Risk_Taker,1,5.0,87.2782145333257,1,65,206.23703287522005,0.8478008388267039,0.8567576569747501,S0042_0
Defensive,2,5.0,87.20938166399162,0,65,206.39981222836857,0.8071206064520651,0.6328373305922403,S0042_0
Conservative,3,10.64199293092652,88.17452523180813,0,65,204.14059449346112,0.95,0.8372599627007149,S0042_0
Opportunist,4,7.4420654465358,88.28226714824523,0,65,203.89145613777754,0.9468918408155437,0.8041398838969269,S0042_0
Balanced,5,6.549859223199254,89.65147129396456,0,65,200.7775192107949,0.9,0.710657409494965,S0042_0
Adaptive,6,5.0,93.43808074898246,0,65,192.64094313277107,0.8927018506308538,0.8661653975714361,S0042_0
Aggressive,7,5.0,92.03417021745905,0,65,195.57953266128723,0.85,0.648116950835766,S0042_0
Adaptive,1,5.0,85.74593622428357,1,60,209.92248487342695,0.9256745002600765,0.7911865442667599,S0043_0
Opportunist,2,5.0,86.74948925360664,0,60,207.49401702387132,0.9129327143471845,0.8541193278410256,S0043_0
Conservative,3,5.0,88.47706947354605,0,60,203.44254287696384,0.95,0.617218765337287,S0043_0
Risk_Taker,4,5.0,90.14977029198513,0,60,199.66773006409213,0.9379707781859312,0.7171571245279138,S0043_0
Balanced,5,8.073847829013644,90.62804050289037,0,60,198.6140260797753,0.9,0.9490666979520644,S0043_0
Aggressive,6,5.0,92.03611126390015,0,60,195.57540787862735,0.85,0.7905521878525271,S0043_0
Defensive,7,5.0,94.86261978680467,0,60,189.7480803339967,0.8572921708631339,0.686907061710208,S0043_0
Opportunist,1,5.0,97.03339999099586,1,61,185.50313605078557,0.8004051508299783,0.6878608542493868,S0044_0
Adaptive,2,5.0,97.30146264491665,0,61,184.99208039336065,0.8117415302441877,0.8846194538129356,S0044_0
Conservative,3,5.0,97.25872550894162,0,61,185.0733690556653,0.95,0.7539475934317929,S0044_0
Balanced,4,5.0,99.5791366762219,0,61,180.7607557246291,0.9,0.7232072412828127,S0044_0
Defensive,5,5.0,100.14925274262876,0,61,179.73174544055541,0.8773696000176383,0.6687499796469106,S0044_0
Aggressive,6,5.0,101.61404806410485,0,61,177.14086135653616,0.85,0.831123771027795,S0044_0
